change,repla,courseID,facilityID,course_name,holes,par
AD-001-01,me,AD-001-01,AD-001,Adios Golf ,18,72
DD-001-01,me,DD-001-01,DD-001,Desert Dunes Golf ,18,72
SC-001-01,me,SC-001-01,SC-001,Sherwood Country,18,72
SG-001-01,me,SG-001-01,SG-001,Services Golf ,18,72
OL-001-01,me,OL-001-01,OL-001,Olivas Links Golf,18,72
CS-001-01,me,CS-001-01,CS-001,The Club at Steyn City,18,72
WC-001-01,me,WC-001-01,WC-001,Wilshire Country ,18,72
DC-001-01,me,DC-001-01,DC-001,Diamond Country ,18,72
SP-001-01,me,SP-001-01,SP-001,Schoeman Park Golf ,18,72
PG-001-01,me,PG-001-01,PG-001,Parkview Golf ,18,72
EG-001-01,me,EG-001-01,EG-001,Erinvale Golf ,18,72
EC-001-01,me,EC-001-01,EC-001,Eagle Canyon Golf ,18,72
SGW-001-01,me,SGW-001-01,SGW-001,Serengeti Golf & Wildlife Estate,18,72
PGC-001-01,me,PGC-001-01,PGC-001,Pecanwood Golf & Country ,18,72
ZC-001-01,me,ZC-001-01,ZC-001,Zwartkop Country ,18,72
SL-001-01,me,SL-001-01,SL-001,Silver Lakes Country,18,72
MGC-001-01,me,MGC-001-01,MGC-001,Modderfontein Golf ,18,72
OGC-001-01,me,OGC-001-01,OGC-001,Omeya Golf ,18,72
GCC-001-01,me,GCC-001-01,GCC-001,Golf Club Crans-sur-Sierre,18,72
CCJ-001-01,me,CCJ-001-01,CCJ-001,Country Club Course 1,18,72
CCJ-001-02,me,CCJ-001-02,CCJ-001,Country Club Course 2,18,72
SCC-001-01,me,SCC-001-01,SCC-001,Soweto Country,18,72
GG-001-01,me,GG-001-01,GG-001,George Golf,18,72
ET-001-01,me,ET-001-01,ET-001,Edgewood Tahoe Golf Course,18,72
SR-001-01,me,SR-001-01,SR-001,Shark River Golf Course,18,72
SGC-001-01,me,SGC-001-01,SGC-001,Stellenbosch Golf Course,18,72
HR-001-01,me,HR-001-01,HR-001,High Ridge Country ,18,72
JW-001-01,me,JW-001-01,JW-001,JW Marriott Desert Springs Palm Course,18,72
MV-001-01,me,MV-001-01,MV-001,Muirfield Village Golf,18,72
